US97717W1255;AuM Fund;AuM Fund Date;AuM Share Class;AuM Share Class Date;Bid NAV;Bid NAV Date;Ask NAV;Ask NAV Date;Valuation NAV;Valuation NAV Date;Transaction NAV;Transaction NAV Date;NoS Fund Date;NoS Share Class;NoS Share Class Date;NoS Fund;FE Bid;FE Bid Date;FE Offer;FE Offer Date;FE NAV;FE NAV Date;FE Generic NAV;FE Generic NAV Date;FE AUM Fund Date;FE AUM Share Class;FE AUM Share Class Date;FE NOS Fund;FE NOS Fund Date;FE NOS Share Class;FE NOS Share Class Date;Citi Code;Fund Code;Dynamic Currency;FE AUM Fund;FE Mid;FE Mid Date;FE Total Return NAV;FE Total Return NAV Date;Amount of Shares Redeemed Fund;Amount of Shares Redeemed Share Class;Amount of Shares Subscribed Fund;Amount of Shares Subscribed Share Class;Number of Shares Redeemed Fund;Number of Shares Redeemed Share Class;Number of Shares Subscribed Fund;Number of Shares Subscribed Share Class
GB00B409PD29;343470000.00;30/04/2024;8584590.95;30/05/2024;;;;;224.53;31/05/2024;;;;3.837.802.700.000;30/05/2024;;;;;;224.53;31/05/2024;224.53;31/05/2024;30/04/2024;8584590.95;30/05/2024;;;3.837.802.700.000;30/05/2024;08M6;YRF20;EUR;343470000.00;224.53;31/05/2024;2.276.489;31/05/2024;;;;;;;;
GB00B403RF05;343470000.00;30/04/2024;9885514.71;30/05/2024;;;;;235.78;30/05/2024;;;;4.192.685.400.000;30/05/2024;;;;;;235.78;30/05/2024;235.78;30/05/2024;30/04/2024;9885514.71;30/05/2024;;;4.192.685.400.000;30/05/2024;08M7;YRF20;USD;343470000.00;235.78;30/05/2024;235.78;30/05/2024;;;;;;;;
GB00B3W2HM55;68790000.00;30/04/2024;77357.66;29/05/2024;;;;;105.76;29/05/2024;;;;73.142.000.000;29/05/2024;;;;;;105.76;29/05/2024;105.76;29/05/2024;30/04/2024;77357.66;29/05/2024;;;73.142.000.000;29/05/2024;08M8;BCFN2;USD;68790000.00;105.76;29/05/2024;105.76;29/05/2024;;;;;;;;
GB00B3VVG600;68790000.00;30/04/2024;940026.76;29/05/2024;;;;;105.47;29/05/2024;;;;891.262.000.000;29/05/2024;;;;;;105.47;29/05/2024;105.47;29/05/2024;30/04/2024;940026.76;29/05/2024;;;891.262.000.000;29/05/2024;08M9;BCFN2;USD;68790000.00;105.47;29/05/2024;105.47;29/05/2024;;;;;;;;
GB00B3R25W66;3889550000.00;30/04/2024;13101632.38;30/05/2024;;;;;110.51;30/05/2024;;;;11.855.720.400.000;30/05/2024;;;;;;110.51;30/05/2024;110.51;30/05/2024;30/04/2024;13101632.38;30/05/2024;;;11.855.720.400.000;30/05/2024;08MA;SUF93;EUR;3889550000.00;110.51;30/05/2024;110.51;30/05/2024;;;;;;;;
GB00B235SK19;51820000.00;30/04/2024;816834.25;30/05/2024;;;;;187.22;30/05/2024;;;;436.288.700.000;30/05/2024;;;;;;187.22;30/05/2024;187.22;30/05/2024;30/04/2024;816834.25;30/05/2024;;;436.288.700.000;30/05/2024;08MB;CAFC2;USD;51820000.00;187.22;30/05/2024;187.22;30/05/2024;;;;;;;;
GB00B235HP90;51820000.00;30/04/2024;1811066.51;30/05/2024;;;;;296.46;30/05/2024;;;;610.897.600.000;30/05/2024;;;;;;296.46;30/05/2024;296.46;30/05/2024;30/04/2024;1811066.51;30/05/2024;;;610.897.600.000;30/05/2024;08MC;CAFC2;USD;51820000.00;296.46;30/05/2024;296.46;30/05/2024;;;;;;;;
GB00B0HW5366;931900000.00;30/04/2024;28141231.11;30/05/2024;;;;;119.45;30/05/2024;;;;23.558.306.400.000;30/05/2024;;;;;;119.45;30/05/2024;119.45;30/05/2024;30/04/2024;28141231.11;30/05/2024;;;23.558.306.400.000;30/05/2024;08MG;QNF33;USD;931900000.00;119.45;30/05/2024;1.339.681;30/05/2024;;;;;;;;
FR001400HP81;931900000.00;30/04/2024;26551954.74;30/05/2024;;;;;132.35;30/05/2024;;;;20.062.485.800.000;30/05/2024;;;;;;132.35;30/05/2024;132.35;30/05/2024;30/04/2024;26551954.74;30/05/2024;;;20.062.485.800.000;30/05/2024;08MH;QNF33;USD;931900000.00;132.35;30/05/2024;132.35;30/05/2024;;;;;;;;
FR0014006PM4;51820000.00;30/04/2024;30682.47;30/05/2024;;;;;2045.5;30/05/2024;;;;1.500.000.000;30/05/2024;;;;;;2045.5;30/05/2024;2045.5;30/05/2024;30/04/2024;30682.47;30/05/2024;;;1.500.000.000;30/05/2024;08ML;CAFC2;USD;51820000.00;2045.5;30/05/2024;2045.5;30/05/2024;;;;;;;;
FR0014006PL6;109455520.35;30/05/2024;13835164.68;30/05/2024;;;;;276.639;30/05/2024;;;;171.266.719.000.000;05/04/2024;;;;;;276.639;30/05/2024;276.639;30/05/2024;30/05/2024;13835164.68;30/05/2024;;;171.266.719.000.000;05/04/2024;08OF;08FOE;EUR;109455520.35;276.639;30/05/2024;276.639;30/05/2024;;;;;;;;
FR0011261197;72064800.00;30/05/2024;47599.73;30/05/2024;;;;;471.835;30/05/2024;;;;279.400.000.000;30/05/2024;;;;;;471.835;30/05/2024;471.835;30/05/2024;30/05/2024;47599.73;30/05/2024;;;279.400.000.000;30/05/2024;08OG;08FOG;GBP;72064800.00;471.835;30/05/2024;471.835;30/05/2024;;;;;;;;
FR0011261189;72064800.00;30/05/2024;19609515.91;30/05/2024;;;;;364.752;30/05/2024;;;;133.440.900.000.000;30/05/2024;;;;;;364.752;30/05/2024;364.752;30/05/2024;30/05/2024;19609515.91;30/05/2024;;;133.440.900.000.000;30/05/2024;08OH;08FOG;USD;72064800.00;364.752;30/05/2024;364.752;30/05/2024;;;;;;;;
FR0011253624;130013498.23;30/04/2024;;;11.911;30/05/2024;11.928;30/05/2024;11.919;30/05/2024;;;;;;;11.911;30/05/2024;11.928;30/05/2024;11.911;30/05/2024;11.911;30/05/2024;30/04/2024;;;;;;;08OP;08FFOP;AUD;130013498.23;;;39.891;30/05/2024;;;;;;;;
FR0011076090;658102665.86;30/04/2024;;;10.864;30/05/2024;10.883;30/05/2024;10.873;30/05/2024;;;;;;;10.864;30/05/2024;10.883;30/05/2024;10.864;30/05/2024;10.864;30/05/2024;30/04/2024;;;;;;;08OQ;08FFOQ;AUD;658102665.86;;;58.525;30/05/2024;;;;;;;;
FR0011075365;515902252.46;30/04/2024;;;19.034;30/05/2024;19.091;30/05/2024;19.063;30/05/2024;;;;;;;19.034;30/05/2024;19.091;30/05/2024;19.034;30/05/2024;19.034;30/05/2024;30/04/2024;;;;;;;08OR;08FOR;AUD;515902252.46;;;99.866;30/05/2024;;;;;;;;
FR0011071778;710589151.65;30/04/2024;;;10.304;30/05/2024;10.304;30/05/2024;10.304;30/05/2024;;;;;;;10.304;30/05/2024;10.304;30/05/2024;10.304;30/05/2024;10.304;30/05/2024;30/04/2024;;;;;;;08OS;08FOS;AUD;710589151.65;;;24.847;30/05/2024;;;;;;;;
FR0011071273;35250351.44;30/04/2024;;;0.8018;30/05/2024;0.8047;30/05/2024;0.8032;30/05/2024;;;;;;;0.8018;30/05/2024;0.8047;30/05/2024;0.8018;30/05/2024;0.8018;30/05/2024;30/04/2024;;;;;;;08OZ;08FFOZ;AUD;35250351.44;;;14.311;30/05/2024;;;;;;;;
FR0011068642;23722629.29;31/05/2024;23722629.29;31/05/2024;;;;;127.29;31/05/2024;;;;18.636.800.000.000;31/05/2024;;;;;;127.29;31/05/2024;127.29;31/05/2024;31/05/2024;23722629.29;31/05/2024;;;18.636.800.000.000;31/05/2024;08P7;08FP7;EUR;23722629.29;127.29;31/05/2024;1.455.707;31/05/2024;;;;;;;;
FR0011050418;51470795.42;31/05/2024;51470795.42;31/05/2024;;;;;124.45;31/05/2024;;;;41.357.600.000.000;31/05/2024;;;;;;124.45;31/05/2024;124.45;31/05/2024;31/05/2024;51470795.42;31/05/2024;;;41.357.600.000.000;31/05/2024;08P8;08FP8;EUR;51470795.42;124.45;31/05/2024;1.258.976;31/05/2024;;;;;;;;
FR0011047513;94836231.25;31/05/2024;94836231.25;31/05/2024;;;;;227.66;31/05/2024;;;;41.656.400.000.000;31/05/2024;;;;;;227.66;31/05/2024;227.66;31/05/2024;31/05/2024;94836231.25;31/05/2024;;;41.656.400.000.000;31/05/2024;08P9;08FP9;EUR;94836231.25;227.66;31/05/2024;238.278;31/05/2024;;;;;;;;
FR0011043025;75798293.20;31/05/2024;75798293.20;31/05/2024;;;;;3794.57;31/05/2024;;;;1.997.547.000.000;31/05/2024;;;;;;3794.57;31/05/2024;3794.57;31/05/2024;31/05/2024;75798293.20;31/05/2024;;;1.997.547.000.000;31/05/2024;08PA;08FPA;EUR;75798293.20;3794.57;31/05/2024;3794.57;31/05/2024;;;;;;;;
FR0011043009;14026579.83;31/05/2024;14026579.83;31/05/2024;;;;;161.48;31/05/2024;;;;8.686.400.000.000;31/05/2024;;;;;;161.48;31/05/2024;161.48;31/05/2024;31/05/2024;14026579.83;31/05/2024;;;8.686.400.000.000;31/05/2024;08PC;08FPC;EUR;14026579.83;161.48;31/05/2024;1.628.257;31/05/2024;;;;;;;;
FR0011042753;15836305.98;31/05/2024;4716074.39;31/05/2024;;;;;182.96;31/05/2024;;;;2.577.700.000.000;31/05/2024;;;;;;182.96;31/05/2024;182.96;31/05/2024;31/05/2024;4716074.39;31/05/2024;;;2.577.700.000.000;31/05/2024;08PD;08FPD;EUR;15836305.98;182.96;31/05/2024;182.96;31/05/2024;;;;;;;;
FR0011041334;335168103.71;30/04/2024;3054553.59;31/05/2024;26.045.101;31/05/2024;26.219.901;31/05/2024;;;;;;3.075.210.700.000;08/04/2024;;26.045.101;31/05/2024;26.219.901;31/05/2024;26.045.101;31/05/2024;26.045.101;31/05/2024;30/04/2024;3054553.59;31/05/2024;;;3.075.210.700.000;08/04/2024;08Q0;MYEXM;GBP;335168103.71;;;34.064.731;31/05/2024;;;;;;;;
FR0011041045;1169105593.87;31/05/2024;;;;;;;2.385;31/05/2024;;;;2.384.820.200.000.000;31/05/2024;;;;;;2.385;31/05/2024;2.385;31/05/2024;31/05/2024;;;;;2.384.820.200.000.000;31/05/2024;08RW;DHFQ2;USD;1169105593.87;2.385;31/05/2024;25.064;31/05/2024;;;;;;;;
FR0011036920;1169105593.87;31/05/2024;;;;;;;2.694;31/05/2024;;;;5.440.667.700.000.000;31/05/2024;;;;;;2.694;31/05/2024;2.694;31/05/2024;31/05/2024;;;;;5.440.667.700.000.000;31/05/2024;08RX;DHFQ2;USD;1169105593.87;2.694;31/05/2024;27.138;31/05/2024;;;;;;;;
FR0011036268;1687332959.02;30/05/2024;1540337953.47;30/05/2024;;;;;2.084.479;30/05/2024;;;;1.196.556.300.000.000;05/04/2024;;;;;;2.084.479;30/05/2024;2.084.479;30/05/2024;30/05/2024;1540337953.47;30/05/2024;;;1.196.556.300.000.000;05/04/2024;08S1;08FS1;USD;1687332959.02;2.084.479;30/05/2024;2.378.052;30/05/2024;;;;;;;;
FR0011035872;1473849549.07;30/05/2024;851722829.26;30/05/2024;;;;;1.199.703;30/05/2024;;;;709.944.900.000.000;30/05/2024;;;;;;1.199.703;30/05/2024;1.199.703;30/05/2024;30/05/2024;851722829.26;30/05/2024;;;709.944.900.000.000;30/05/2024;08S3;08FS3;EUR;1473849549.07;1.199.703;30/05/2024;172.082;30/05/2024;;;;;;;;
FR0011035864;4646000000.00;30/04/2024;;;;;;;33.23;30/05/2024;;;;;;;;;;;33.23;30/05/2024;33.23;30/05/2024;30/04/2024;;;;;;;08TR;08FTR;USD;4646000000.00;33.23;30/05/2024;33.23;30/05/2024;;;;;;;;
FR0011034735;2021488341.26;31/05/2024;42646803.34;31/05/2024;;;;;;;518.68;31/05/2024;;8.222.100.000.000;31/05/2024;;;;;;518.68;31/05/2024;518.68;31/05/2024;31/05/2024;42646803.34;31/05/2024;;;8.222.100.000.000;31/05/2024;08TS;TTF98;SGD;2021488341.26;518.68;31/05/2024;518.68;31/05/2024;;;;;;;;
